#Peak	ν(F2) [ppm]	ν(F1) [ppm]	ν(F2) [Hz]	ν(F1) [Hz]	Intensity [abs]	
### Minus
70	6.8230	112.5635	4076.2308	6814.2059	36526.95	
74	6.8230	111.9991	4076.2308	6780.0391	39373.34	
## Plus
Peak	ν(F2) [ppm]	ν(F1) [ppm]	ν(F2) [Hz]	ν(F1) [Hz]	Intensity [abs]	
16	8.3554	121.3357	4991.7248	7345.2447	10395.79	
14	8.2850	108.8708	4949.6661	6590.6626	10247.88	
15	8.2086	123.0934	4904.0229	7451.6498	10383.90	
20	8.2086	123.4481	4904.0229	7473.1221	11393.97	
17	8.2028	123.1579	4900.5578	7455.5544	10590.64	
22	8.2028	123.3836	4900.5578	7469.2175	11541.50	
26	8.1969	123.2869	4897.0330	7463.3636	12122.00	
19	8.1499	114.5469	4868.9540	6934.2741	10765.88	
21	8.1441	110.0480	4865.4889	6661.9263	11411.23	
23	8.1382	123.7545	4861.9641	7491.6705	11923.70	
28	8.1323	122.2710	4858.4393	7401.8645	14378.66	
13	7.9562	114.9339	4753.2328	6957.7018	10115.78	
24	7.7624	128.4147	4637.4518	7773.7829	11983.94	
30	7.7389	128.6888	4623.4123	7790.3760	20561.50	
27	7.7213	128.7050	4612.8977	7791.3567	12372.10	
25	7.6861	128.6888	4591.8683	7790.3760	12072.94	
18	7.6743	117.5785	4584.8187	7117.7967	10758.23	
10	7.6215	128.5921	4553.2746	7784.5221	9422.47	
12	7.5510	118.9975	4511.1562	7203.6981	9975.53	
29	7.5393	113.0312	4504.1663	6842.5189	16014.71	
11	7.5041	119.4490	4483.1369	7231.0304	9901.56	
1	7.3338	122.8515	4381.3955	7437.0060	9228.01	
2	6.9756	117.7720	4167.3978	7129.5106	9336.14	
3	6.9345	109.2578	4142.8437	6614.0903	10353.92	
5	6.8758	112.8215	4107.7748	6829.8244	19293.56	
7	6.8758	112.4345	4107.7748	6806.3967	32025.07	
6	6.8465	113.0312	4090.2703	6842.5189	30168.20	
4	6.8230	112.9344	4076.2308	6836.6590	17608.44	
8	6.8230	112.5635	4076.2308	6814.2059	36526.95	
9	6.8230	111.9991	4076.2308	6780.0391	39373.34	
