$##1.0

Project:      	Dynamic method/T1
Date:         	Friday, September 16, 2022 9:48:52 AM
User:         	nmrsu
Computer:     	bruker600
generated by: 	Dynamics Center 2.5.5  (2018 Aug/27)


SECTION:	 sample information 
sample name:	 ubiquitine
Description/Title:	 standard demo sample
Origin:	 in-house
Date of preparation:	 06 / 2005
Solvent:	 D2O  
pH:	 7.0
Sample tube:	 normal 
Tube diameter (mm):	 3
Concentration (mM):	 10.00
Temperature (K):	 308.0
Weight (Daltons):	 8900
Correlation time (ns):	 12.40
Labelling:	 15N    
AminoAcid storage:	 SEQ file 
AminoAcid file:	 /opt/data/nmrsu/nmr/sample/ubiquitine.seq
PDB file:	 /opt/data/nmrsu/nmr/sample/ubiquitine.pdb


SECTION:	 relevant parameters
Proton frequency[MHz]:	 597.560
X nucleus frequency[MHz]:	 60.550


SECTION:	 integrals
Mixing time [s]:	       0.02000000	       0.05000000	       0.10000000	       0.20000000	       0.30000000	       0.50000000	       0.70000000	       0.90000000	       1.50000000	       1.90000000
Peak name	              I0	              I1	              I2	              I3	              I4	              I5	              I6	              I7	              I8	              I9
          1	  407224233.00000000	  411141628.00000000	  397812342.00000000	  363621515.00000000	  327653546.00000000	  271617829.00000000	  223642346.00000000	  183723616.00000000	  106799809.00000000	  73486546.00000000
          2	  9224929.00000000	  8454794.00000000	  7963410.00000000	  5425581.00000000	  7741436.00000000	  5767862.00000000	  3674450.00000000	  4999358.00000000	  3635931.00000000	  2056836.00000000
          3	  97738361.00000000	  107318432.00000000	  99319872.00000000	  86787220.00000000	  75290730.00000000	  58564551.00000000	  44477433.00000000	  32006256.00000000	  14543481.00000000	  8923411.00000000
          4	  244552503.00000000	  257929778.00000000	  236713149.00000000	  204737221.00000000	  169149655.00000000	  118384199.00000000	  87506260.00000000	  64726955.00000000	  28027773.00000000	  14396129.00000000
          5	  120325589.00000000	  135326428.00000000	  128255488.00000000	  111404237.00000000	  97792197.00000000	  78784282.00000000	  58693279.00000000	  49451644.00000000	  26455028.00000000	  18176528.00000000
          6	  232646104.00000000	  245306539.00000000	  230952767.00000000	  192005997.00000000	  162995113.00000000	  118748699.00000000	  87195518.00000000	  64654159.00000000	  25953009.00000000	  14456933.00000000
          7	  144861295.00000000	  157590161.00000000	  147167902.00000000	  121716291.00000000	  106701315.00000000	  81181991.00000000	  61212119.00000000	  43274098.00000000	  19375268.00000000	  13152801.00000000
          8	  93984124.00000000	  102334211.00000000	  96105098.00000000	  84269001.00000000	  74283703.00000000	  57587175.00000000	  45629076.00000000	  35749540.00000000	  16132445.00000000	  9834722.00000000
          9	  194520625.00000000	  207998298.00000000	  191091066.00000000	  166755222.00000000	  134123269.00000000	  101179035.00000000	  71890614.00000000	  53878104.00000000	  23330615.00000000	  11950177.00000000
         10	  291625447.00000000	  330802600.00000000	  301959907.00000000	  253510994.00000000	  222876857.00000000	  165821704.00000000	  126923221.00000000	  90779521.00000000	  44580106.00000000	  30605979.00000000
         11	  292438901.00000000	  291962865.00000000	  280275012.00000000	  233314633.00000000	  198353104.00000000	  146543852.00000000	  103698714.00000000	  75497215.00000000	  31651096.00000000	  17626476.00000000
         12	  285316316.00000000	  312525223.00000000	  287908702.00000000	  241982605.00000000	  201420033.00000000	  153007681.00000000	  109384515.00000000	  84131099.00000000	  38031560.00000000	  21636027.00000000
         13	  185221686.00000000	  204694252.00000000	  187778517.00000000	  156912825.00000000	  131405841.00000000	  94139693.00000000	  67409166.00000000	  50648642.00000000	  21261118.00000000	  10453065.00000000
         14	  187269543.00000000	  198797967.00000000	  186014937.00000000	  155448260.00000000	  123690131.00000000	  89279819.00000000	  66892190.00000000	  47769616.00000000	  19306678.00000000	  10509685.00000000
         15	  122148341.00000000	  127105773.00000000	  118993479.00000000	  97433417.00000000	  84201223.00000000	  62487645.00000000	  46658433.00000000	  34212692.00000000	  13885065.00000000	  7537235.00000000
         16	  250062111.00000000	  256704258.00000000	  243637172.00000000	  205447706.00000000	  173037160.00000000	  124846080.00000000	  90313869.00000000	  66064715.00000000	  27857142.00000000	  14715592.00000000
         17	  216612782.00000000	  226454413.00000000	  212728291.00000000	  181062373.00000000	  153094962.00000000	  113373373.00000000	  78894523.00000000	  59858799.00000000	  24896820.00000000	  12265317.00000000
         18	  160145090.00000000	  168000823.00000000	  154970606.00000000	  129430232.00000000	  110882354.00000000	  79997255.00000000	  59692275.00000000	  46490449.00000000	  19985035.00000000	  11340944.00000000
         19	  144224474.00000000	  163336967.00000000	  143491473.00000000	  122190318.00000000	  102382647.00000000	  71890946.00000000	  53007542.00000000	  38535358.00000000	  15724573.00000000	  6355770.00000000
         20	  122162683.00000000	  130557943.00000000	  120451663.00000000	  104574019.00000000	  85855287.00000000	  68762225.00000000	  47589025.00000000	  35754156.00000000	  14013812.00000000	  9738494.00000000
         21	  233982865.00000000	  256912474.00000000	  238460078.00000000	  199397742.00000000	  169546990.00000000	  131153890.00000000	  97483395.00000000	  74962955.00000000	  36038606.00000000	  20924396.00000000
         22	  91437211.00000000	  96443816.00000000	  89879032.00000000	  79295138.00000000	  68905727.00000000	  49856186.00000000	  36534581.00000000	  26287673.00000000	  12347412.00000000	  6338162.00000000
         23	  170894796.00000000	  185049808.00000000	  173605645.00000000	  149809765.00000000	  123883129.00000000	  90745528.00000000	  64669234.00000000	  49693182.00000000	  21105244.00000000	  11744460.00000000
         24	  121723401.00000000	  133649974.00000000	  123104370.00000000	  97949162.00000000	  82613840.00000000	  60406940.00000000	  42924113.00000000	  31587717.00000000	  12044461.00000000	  6616705.00000000
