$##1.0

Project:      	Dynamic method/T1
Date:         	Tuesday, October 11, 2022 3:05:26 PM
User:         	nmrsu
Computer:     	bruker600
generated by: 	Dynamics Center 2.5.5  (2018 Aug/27)


SECTION:	 sample information 
sample name:	 ubiquitine
Description/Title:	 standard demo sample
Origin:	 in-house
Date of preparation:	 06 / 2005
Solvent:	 D2O  
pH:	 7.0
Sample tube:	 normal 
Tube diameter (mm):	 3
Concentration (mM):	 10.00
Temperature (K):	 308.0
Weight (Daltons):	 8900
Correlation time (ns):	 12.40
Labelling:	 15N    
AminoAcid storage:	 SEQ file 
AminoAcid file:	 /opt/data/nmrsu/nmr/sample/ubiquitine.seq
PDB file:	 /opt/data/nmrsu/nmr/sample/ubiquitine.pdb


SECTION:	 relevant parameters
Proton frequency[MHz]:	 597.425
X nucleus frequency[MHz]:	 60.537


SECTION:	 integrals
Mixing time [s]:	       0.02000000	       0.05000000	       0.10000000	       0.20000000	       0.30000000	       0.50000000	       0.70000000	       0.90000000	       1.50000000	       1.90000000
Peak name	              I0	              I1	              I2	              I3	              I4	              I5	              I6	              I7	              I8	              I9
          1	  304353184.00000000	  308379205.00000000	  301051917.00000000	  272947146.00000000	  247910031.00000000	  205671702.00000000	  170931051.00000000	  142013581.00000000	  83920336.00000000	  57517424.00000000
          2	  6994878.00000000	  6639491.00000000	  5942895.00000000	  6237687.00000000	  5698189.00000000	  4687889.00000000	  3052663.00000000	  2690851.00000000	  2082015.00000000	  1080156.00000000
          3	  65018902.00000000	  70044741.00000000	  68021144.00000000	  61543869.00000000	  51054370.00000000	  39466080.00000000	  28775916.00000000	  22112953.00000000	  10241300.00000000	  6011847.00000000
          4	  182335431.00000000	  195226270.00000000	  180739500.00000000	  155528801.00000000	  131110513.00000000	  96618937.00000000	  71163889.00000000	  53228707.00000000	  22298312.00000000	  12496540.00000000
          5	  86853352.00000000	  98873898.00000000	  91914049.00000000	  82168486.00000000	  73729438.00000000	  57042839.00000000	  44010921.00000000	  35756653.00000000	  17682365.00000000	  10732068.00000000
          6	  171206601.00000000	  180333006.00000000	  170120378.00000000	  144054543.00000000	  124639273.00000000	  91001883.00000000	  65410627.00000000	  48042804.00000000	  20328593.00000000	  11697959.00000000
          7	  104638547.00000000	  113971553.00000000	  110323310.00000000	  93459962.00000000	  81584047.00000000	  61636518.00000000	  46486859.00000000	  35278059.00000000	  15820524.00000000	  8351322.00000000
          8	  63567313.00000000	  73120929.00000000	  65445571.00000000	  57116598.00000000	  51731047.00000000	  40001147.00000000	  28572815.00000000	  24330782.00000000	  11755124.00000000	  7124577.00000000
          9	  151550618.00000000	  161348972.00000000	  151096662.00000000	  130948525.00000000	  111074603.00000000	  81026193.00000000	  57979662.00000000	  42701486.00000000	  18919349.00000000	  10398672.00000000
         10	  183328046.00000000	  193875610.00000000	  184362758.00000000	  160247512.00000000	  140793652.00000000	  105282265.00000000	  77213617.00000000	  60130566.00000000	  31360307.00000000	  18185666.00000000
         11	  215263803.00000000	  221160429.00000000	  207467662.00000000	  180059910.00000000	  152430694.00000000	  112727965.00000000	  82795312.00000000	  60813928.00000000	  26432179.00000000	  13070467.00000000
         12	  82904220.00000000	  91197370.00000000	  87446189.00000000	  76923982.00000000	  65178552.00000000	  47350120.00000000	  35818006.00000000	  26565673.00000000	  11979732.00000000	  6475899.00000000
         13	  199939342.00000000	  212192978.00000000	  202282957.00000000	  172528450.00000000	  146565824.00000000	  108231236.00000000	  80668621.00000000	  59866795.00000000	  25874350.00000000	  13263783.00000000
         14	  133727684.00000000	  150559909.00000000	  139721696.00000000	  116946232.00000000	  96515390.00000000	  73947204.00000000	  52304793.00000000	  36666706.00000000	  16032602.00000000	  9028439.00000000
         15	  141843731.00000000	  154025778.00000000	  142513725.00000000	  121244093.00000000	  103757369.00000000	  73960123.00000000	  55894552.00000000	  40602882.00000000	  15874279.00000000	  9010991.00000000
         16	  84291455.00000000	  92793733.00000000	  85862181.00000000	  73144224.00000000	  62232491.00000000	  45450263.00000000	  32448751.00000000	  23769946.00000000	  9577574.00000000	  4970543.00000000
         17	  183625224.00000000	  190100519.00000000	  179483092.00000000	  153560183.00000000	  130611982.00000000	  94053928.00000000	  70021733.00000000	  50899148.00000000	  20128643.00000000	  11022987.00000000
         18	  156670861.00000000	  165425145.00000000	  157926129.00000000	  134813195.00000000	  114109698.00000000	  83925056.00000000	  62089100.00000000	  45730839.00000000	  19117340.00000000	  11372113.00000000
         19	  113577991.00000000	  118784986.00000000	  113080547.00000000	  97463579.00000000	  82233948.00000000	  59547168.00000000	  45402814.00000000	  32402798.00000000	  12374778.00000000	  6758478.00000000
         20	  111711791.00000000	  121452629.00000000	  110611930.00000000	  96559122.00000000	  79980153.00000000	  58480383.00000000	  41732449.00000000	  29878225.00000000	  12193859.00000000	  6171852.00000000
         21	  83736779.00000000	  91869910.00000000	  87081698.00000000	  75383350.00000000	  65126053.00000000	  49145525.00000000	  35441843.00000000	  27027986.00000000	  9854945.00000000	  6647756.00000000
         22	  129374380.00000000	  144525326.00000000	  135303373.00000000	  112832661.00000000	  96102565.00000000	  74886303.00000000	  53928859.00000000	  41681903.00000000	  19085790.00000000	  11355436.00000000
         23	  132964628.00000000	  144608090.00000000	  135139533.00000000	  118681153.00000000	  101715481.00000000	  76951039.00000000	  56842462.00000000	  43483468.00000000	  19419643.00000000	  10814544.00000000
         24	  60891717.00000000	  65753734.00000000	  62259949.00000000	  55189186.00000000	  47071523.00000000	  35106392.00000000	  25675806.00000000	  18660302.00000000	  8145593.00000000	  4618827.00000000
